Date,Country,Confirmed
21 May 2020,Bangladesh,28511
22 May 2020,Bangladesh,30205
23 May 2020,Bangladesh,32078
24 May 2020,Bangladesh,33610
25 May 2020,Bangladesh,35585
26 May 2020,Bangladesh,36751
31 March 2020,Belarus,152
01 April 2020,Belarus,163
04 April 2020,Belarus,440
06 April 2020,Belarus,700
11 April 2020,Belarus,2226
15 April 2020,Belarus,3728
19 April 2020,Belarus,4779
23 April 2020,Belarus,8022
27 April 2020,Belarus,11289
30 April 2020,Belarus,14027
01 May 2020,Belarus,14917
02 May 2020,Belarus,15828
03 May 2020,Belarus,16705
04 May 2020,Belarus,17489
05 May 2020,Belarus,18350
06 May 2020,Belarus,19255
07 May 2020,Belarus,20168
08 May 2020,Belarus,21101
09 May 2020,Belarus,22052
10 May 2020,Belarus,22973
11 May 2020,Belarus,23906
12 May 2020,Belarus,24873
13 May 2020,Belarus,25825
14 May 2020,Belarus,26772
15 May 2020,Belarus,27730
16 May 2020,Belarus,28681
17 May 2020,Belarus,29650
18 May 2020,Belarus,30572
19 May 2020,Belarus,31508
20 May 2020,Belarus,32426
21 May 2020,Belarus,33371
22 May 2020,Belarus,34303
23 May 2020,Belarus,35244
24 May 2020,Belarus,36198
25 May 2020,Belarus,37144
26 May 2020,Belarus,38059
08 March 2020,Belgium,200
14 March 2020,Belgium,689
20 March 2020,Belgium,2257
24 March 2020,Belgium,4269
28 March 2020,Belgium,9134
31 March 2020,Belgium,12775
01 April 2020,Belgium,13964
04 April 2020,Belgium,18431
06 April 2020,Belgium,20814
11 April 2020,Belgium,28018
15 April 2020,Belgium,33573
19 April 2020,Belgium,38496
23 April 2020,Belgium,42797
27 April 2020,Belgium,46687
30 April 2020,Belgium,48519
01 May 2020,Belgium,49032
02 May 2020,Belgium,49517
03 May 2020,Belgium,49906
04 May 2020,Belgium,50267
05 May 2020,Belgium,50509
06 May 2020,Belgium,50781
07 May 2020,Belgium,51420
08 May 2020,Belgium,52011
09 May 2020,Belgium,52596
10 May 2020,Belgium,53081
11 May 2020,Belgium,53449
12 May 2020,Belgium,53779
13 May 2020,Belgium,53981
14 May 2020,Belgium,54288
15 May 2020,Belgium,54644
